;Palmira;Pasto;Tulua;Bogota;Pereira;Armenia;Manizales;Valledupar;Monteria;Soledad;Cartagena;Barranquilla;Medellin;Bucaramanga;Cucuta
Palmira;0;196.499;44.473;258.408;106.416;94.910;149.840;518.590;469.152;574.551;580.668;588.808;243.888;365.393;469.132
Pasto;196.499;0;233.708;414.567;293.912;282.930;336.818;682.718;637.597;737.117;731.259;747.033;434.859;519.523;624.127
Tulua;44.473;233.708;0;245.483;64.197;52.137;106.927;489.496;425.718;542.333;491.298;556.069;201.495;315.651;427.434
Bogota;258.408;414.567;245.483;0;195.466;167.024;168.387;385.731;445.872;465.389;483.495;485.501;223.823;203.123;308.838
Pereira;106.416;293.912;64.197;195.466;0;33.090;44.289;415.293;365.858;503.189;512.687;515.069;152.024;266.435;381.352
Armenia;94.910;282.930;52.137;167.024;33.090;0;79.480;509.128;408.135;550.466;544.064;520.210;183.404;295.972;410.210
Manizales;149.840;336.818;106.927;168.387;44.289;79.480;0;371.515;360.014;460.435;482.770;463.024;135.454;234.164;338.092
Valledupar;518.590;682.718;489.496;385.731;415.293;509.128;371.515;0;187.064;147.764;168.130;158.049;336.842;198.263;220.555
Monteria;469.152;637.597;425.718;445.872;365.858;408.135;360.014;187.064;0;179.849;132.809;197.873;232.714;296.811;312.853
Soledad;574.551;737.117;542.333;465.389;503.189;550.466;460.435;147.764;179.849;0;63.256;7.589;371.428;279.477;300.563
Cartagena;580.668;731.259;491.298;483.495;512.687;544.064;482.770;168.130;132.809;63.256;0;72.780;350.760;299.325;327.173
Barranquilla;588.808;747.033;556.069;485.501;515.069;520.210;463.024;158.049;197.873;7.589;72.780;0;387.881;288.032;315.707
Medellin;243.888;434.859;201.495;223.823;152.024;183.404;135.454;336.842;232.714;371.428;350.760;387.881;0;196.201;303.415
Bucaramanga;365.393;519.523;315.651;203.123;266.435;295.972;234.164;198.263;296.811;279.477;299.325;288.032;196.201;0;106.675
Cucuta;469.132;624.127;427.434;308.838;381.352;410.210;338.092;220.555;312.853;300.563;327.173;315.707;303.415;106.675;0
